,sentence,text,_sentence_text,aspect_cat
0,GB-117_sample_English_18.txt_4026-4114,Tropic Bird,"In the A.M. saw a Tropic Bird , which , I believe , is uncommon in such high Latitudes .",FAUNA
1,GB-117_sample_English_18.txt_7251-7283,flying fish,Some flying fish seen this day .,FAUNA
2,GB-117_sample_English_18.txt_7364-7486,Egg Bird,"In the P.M. saw an Egg Bird , and yesterday a Gannet was seen ; these are Birds that we reckon never to go far from land .",FAUNA
3,GB-117_sample_English_18.txt_7364-7486,Gannet,"In the P.M. saw an Egg Bird , and yesterday a Gannet was seen ; these are Birds that we reckon never to go far from land .",FAUNA
4,GB-117_sample_English_18.txt_7364-7486,Birds,"In the P.M. saw an Egg Bird , and yesterday a Gannet was seen ; these are Birds that we reckon never to go far from land .",FAUNA
5,GB-117_sample_English_18.txt_7915-8097,land bird,"Before 5 o'Clock we were obliged to close reef our Topsails , having a Strong gale , with very heavy squalls ; about this time a Small land bird was seen to pearch upon the rigging .",FAUNA
6,GB-117_sample_English_18.txt_9838-9965,Port Egmont Hen,"Last night we saw a Port Egmont Hen , and this morning 2 More , a Pintado bird , several Albetrosses , and black sheer Waters .",FAUNA
7,GB-117_sample_English_18.txt_9838-9965,Pintado bird,"Last night we saw a Port Egmont Hen , and this morning 2 More , a Pintado bird , several Albetrosses , and black sheer Waters .",FAUNA
8,GB-117_sample_English_18.txt_9838-9965,Albetrosses,"Last night we saw a Port Egmont Hen , and this morning 2 More , a Pintado bird , several Albetrosses , and black sheer Waters .",FAUNA
9,GB-117_sample_English_18.txt_9838-9965,black sheer Waters,"Last night we saw a Port Egmont Hen , and this morning 2 More , a Pintado bird , several Albetrosses , and black sheer Waters .",FAUNA
10,GB-117_sample_English_18.txt_9966-10069,birds,The first of these birds are Certain signs of the nearness of land ; indeed we can not be far from it .,FAUNA
11,GB-117_sample_English_18.txt_19791-20184,Trees,"The land near the Sea coast still continues of a moderate height , forming alternately rocky points and Sandy beaches ; but inland , between Mount Dromedary and the Pigeon house , are several pretty high Mountains , 2 only of which we saw but what were covered with Trees , and these lay inland behind the Pigeon House , and are remarkably flat a Top , with Steep rocky clifts all round them .",FLORA
12,GB-117_sample_English_18.txt_20185-20284,Trees,As far as we could see the Trees in this Country hath all the appearance of being stout and lofty .,FLORA
13,GB_219_IAA.txt_190-451,"bouquets de
roses","Beaucoup de bouquets de
roses, aux petits étalages, parmi les sucres d'orge et les tartes; des
sirops de toutes couleurs dans des carafes; des confitures dans de
grandes vieilles potiches chinoises, arrivées ici au siècle de
Chah-Abbas; une nuée de mouches.",FLORA
14,GB_219_IAA.txt_190-451,nuée de mouches,"Beaucoup de bouquets de
roses, aux petits étalages, parmi les sucres d'orge et les tartes; des
sirops de toutes couleurs dans des carafes; des confitures dans de
grandes vieilles potiches chinoises, arrivées ici au siècle de
Chah-Abbas; une nuée de mouches.",FAUNA
15,GB_219_IAA.txt_771-1113,rose,"Au suivant carrefour, qui montre une vétusté caduque, des groupes
stationnent auprès de la fontaine: assis sur le bord de la vasque de
marbre, un vieux derviche est là qui prêche, tout blanc de barbe et de
cheveux dans le rayon qui tombe du haut de la coupole, l'air d'avoir
cent ans, et, du bout de ses doigts décharnés, tenant une rose.",FLORA
16,GB_219_IAA.txt_1908-2059,chauves-souris,"La poussière, les chauves-souris, les toiles
d'araignée, les décombres noirs ont envahi ce bazar décaissé, où
sommeillent pourtant d'exquises choses.",FAUNA
17,GB_219_IAA.txt_1908-2059,"toiles
d'araignée","La poussière, les chauves-souris, les toiles
d'araignée, les décombres noirs ont envahi ce bazar décaissé, où
sommeillent pourtant d'exquises choses.",FAUNA
18,GB_219_IAA.txt_2676-3055,renards,"Sur un parcours de
plus d'une lieue, maisons, palais, bazars, tout est désert et tout
s'écroule; le long des rues ou dans les mosquées, les renards et les
chacals sont venus creuser leurs trous et fixer leurs demeures; et çà et
là l'émiettement des belles mosaïques, des belles faïences, a saupoudré
comme d'une cendre bleu céleste les éboulis de briques et de terre
grise.",FAUNA
19,GB_219_IAA.txt_2676-3055,chacals,"Sur un parcours de
plus d'une lieue, maisons, palais, bazars, tout est désert et tout
s'écroule; le long des rues ou dans les mosquées, les renards et les
chacals sont venus creuser leurs trous et fixer leurs demeures; et çà et
là l'émiettement des belles mosaïques, des belles faïences, a saupoudré
comme d'une cendre bleu céleste les éboulis de briques et de terre
grise.",FAUNA
20,GB_219_IAA.txt_3056-3310,chacal,"A part un chacal, qui nous montre à la porte d'un terrier son
museau pointu, nous ne rencontrons rien de vivant nulle part; nous
marchons à travers le froid silence, n'entendant que nos pas et le heurt
des bâtons de mes deux gardes contre les pierres.",FAUNA
21,GB_219_IAA.txt_3311-3686,"fleurs
de mai","Cependant des fleurs
de mai, des marguerites, des pieds-d'alouette, des coquelicots, des
églantines blanches forment des petits jardins partout, sur le faîte des
murs; le déclin du jour est limpide et doré; les neiges lointaines,
là-bas sur les cimes, deviennent délicieusement roses; au-dessus de
cette désolation, la fête de lumière bat son plein à l'approche du soir.",FLORA
22,GB_219_IAA.txt_3311-3686,marguerites,"Cependant des fleurs
de mai, des marguerites, des pieds-d'alouette, des coquelicots, des
églantines blanches forment des petits jardins partout, sur le faîte des
murs; le déclin du jour est limpide et doré; les neiges lointaines,
là-bas sur les cimes, deviennent délicieusement roses; au-dessus de
cette désolation, la fête de lumière bat son plein à l'approche du soir.",FLORA
23,GB_219_IAA.txt_3311-3686,pieds-d'alouette,"Cependant des fleurs
de mai, des marguerites, des pieds-d'alouette, des coquelicots, des
églantines blanches forment des petits jardins partout, sur le faîte des
murs; le déclin du jour est limpide et doré; les neiges lointaines,
là-bas sur les cimes, deviennent délicieusement roses; au-dessus de
cette désolation, la fête de lumière bat son plein à l'approche du soir.",FLORA
24,GB_219_IAA.txt_3311-3686,coquelicots,"Cependant des fleurs
de mai, des marguerites, des pieds-d'alouette, des coquelicots, des
églantines blanches forment des petits jardins partout, sur le faîte des
murs; le déclin du jour est limpide et doré; les neiges lointaines,
là-bas sur les cimes, deviennent délicieusement roses; au-dessus de
cette désolation, la fête de lumière bat son plein à l'approche du soir.",FLORA
25,GB_219_IAA.txt_3311-3686,églantines blanches,"Cependant des fleurs
de mai, des marguerites, des pieds-d'alouette, des coquelicots, des
églantines blanches forment des petits jardins partout, sur le faîte des
murs; le déclin du jour est limpide et doré; les neiges lointaines,
là-bas sur les cimes, deviennent délicieusement roses; au-dessus de
cette désolation, la fête de lumière bat son plein à l'approche du soir.",FLORA
26,GB_219_IAA.txt_3311-3686,jardins,"Cependant des fleurs
de mai, des marguerites, des pieds-d'alouette, des coquelicots, des
églantines blanches forment des petits jardins partout, sur le faîte des
murs; le déclin du jour est limpide et doré; les neiges lointaines,
là-bas sur les cimes, deviennent délicieusement roses; au-dessus de
cette désolation, la fête de lumière bat son plein à l'approche du soir.",FLORA
27,GB_219_IAA.txt_190-451,"bouquets de
roses","Beaucoup de bouquets de
roses, aux petits étalages, parmi les sucres d'orge et les tartes; des
sirops de toutes couleurs dans des carafes; des confitures dans de
grandes vieilles potiches chinoises, arrivées ici au siècle de
Chah-Abbas; une nuée de mouches.",FLORA
28,GB_219_IAA.txt_190-451,mouches,"Beaucoup de bouquets de
roses, aux petits étalages, parmi les sucres d'orge et les tartes; des
sirops de toutes couleurs dans des carafes; des confitures dans de
grandes vieilles potiches chinoises, arrivées ici au siècle de
Chah-Abbas; une nuée de mouches.",FAUNA
29,GB_219_IAA.txt_771-1113,une rose,"Au suivant carrefour, qui montre une vétusté caduque, des groupes
stationnent auprès de la fontaine: assis sur le bord de la vasque de
marbre, un vieux derviche est là qui prêche, tout blanc de barbe et de
cheveux dans le rayon qui tombe du haut de la coupole, l'air d'avoir
cent ans, et, du bout de ses doigts décharnés, tenant une rose.",FLORA
30,GB_219_IAA.txt_2676-3055,les renards,"Sur un parcours de
plus d'une lieue, maisons, palais, bazars, tout est désert et tout
s'écroule; le long des rues ou dans les mosquées, les renards et les
chacals sont venus creuser leurs trous et fixer leurs demeures; et çà et
là l'émiettement des belles mosaïques, des belles faïences, a saupoudré
comme d'une cendre bleu céleste les éboulis de briques et de terre
grise.",FAUNA
31,GB_219_IAA.txt_2676-3055,"les
chacals","Sur un parcours de
plus d'une lieue, maisons, palais, bazars, tout est désert et tout
s'écroule; le long des rues ou dans les mosquées, les renards et les
chacals sont venus creuser leurs trous et fixer leurs demeures; et çà et
là l'émiettement des belles mosaïques, des belles faïences, a saupoudré
comme d'une cendre bleu céleste les éboulis de briques et de terre
grise.",FAUNA
32,GB_219_IAA.txt_3056-3310,un chacal,"A part un chacal, qui nous montre à la porte d'un terrier son
museau pointu, nous ne rencontrons rien de vivant nulle part; nous
marchons à travers le froid silence, n'entendant que nos pas et le heurt
des bâtons de mes deux gardes contre les pierres.",FAUNA
33,GB_219_IAA.txt_3311-3686,"des fleurs
de mai","Cependant des fleurs
de mai, des marguerites, des pieds-d'alouette, des coquelicots, des
églantines blanches forment des petits jardins partout, sur le faîte des
murs; le déclin du jour est limpide et doré; les neiges lointaines,
là-bas sur les cimes, deviennent délicieusement roses; au-dessus de
cette désolation, la fête de lumière bat son plein à l'approche du soir.",FLORA
34,GB_219_IAA.txt_3311-3686,des marguerites,"Cependant des fleurs
de mai, des marguerites, des pieds-d'alouette, des coquelicots, des
églantines blanches forment des petits jardins partout, sur le faîte des
murs; le déclin du jour est limpide et doré; les neiges lointaines,
là-bas sur les cimes, deviennent délicieusement roses; au-dessus de
cette désolation, la fête de lumière bat son plein à l'approche du soir.",FLORA
35,GB_219_IAA.txt_3311-3686,des pieds-d'alouette,"Cependant des fleurs
de mai, des marguerites, des pieds-d'alouette, des coquelicots, des
églantines blanches forment des petits jardins partout, sur le faîte des
murs; le déclin du jour est limpide et doré; les neiges lointaines,
là-bas sur les cimes, deviennent délicieusement roses; au-dessus de
cette désolation, la fête de lumière bat son plein à l'approche du soir.",FLORA
36,GB_219_IAA.txt_3311-3686,des coquelicots,"Cependant des fleurs
de mai, des marguerites, des pieds-d'alouette, des coquelicots, des
églantines blanches forment des petits jardins partout, sur le faîte des
murs; le déclin du jour est limpide et doré; les neiges lointaines,
là-bas sur les cimes, deviennent délicieusement roses; au-dessus de
cette désolation, la fête de lumière bat son plein à l'approche du soir.",FLORA
37,GB_219_IAA.txt_3311-3686,"des
églantines blanches","Cependant des fleurs
de mai, des marguerites, des pieds-d'alouette, des coquelicots, des
églantines blanches forment des petits jardins partout, sur le faîte des
murs; le déclin du jour est limpide et doré; les neiges lointaines,
là-bas sur les cimes, deviennent délicieusement roses; au-dessus de
cette désolation, la fête de lumière bat son plein à l'approche du soir.",FLORA
38,IT_5_sample.txt_138-332,lilies,It is true that on any spring morning you may see the cloister filled with laughing lilies to be laid at Madonna 's feet ; but who knows if she be not fled away with her Servi to Monte Senario ?,FLORA
