,text,_sentence_text,aspect_cat
0,mouches,"Nous nous faisons l'effet de mouches égarées dans un tuyau d'orgue , un jour de messe solennelle .",FAUNA
1,les vergers,Longtemps j'ai pleuré après les haies d'aubépine et les vergers ombreux ...,FLORA
2,bêtes blanches,"De monstrueuses bêtes blanches courent , se cabrent , s'évanouissent dans l'ombre et de nouveau se ruent vers on ne sait quelles besognes d'épouvante .",FAUNA
3,Ma moisson,"Dans la salle du corps de garde , où il vient de nous introduire , il nous montre un tas d'épaves . -- Ma moisson de ce soir , nous dit-il , avec un accent goguenard , de sa voix enrouée .",FLORA
4,morues,"Nous avons tous écouté la prière , qui assis sur le plat-bord et appuyé au bastingage , qui debout sur le pont , parmi les morues saignantes , empilées en tas .",FAUNA
5,morues,"Nous avons tous écouté la prière , qui assis sur le plat-bord et appuyé au bastingage , qui debout sur le pont , parmi les morues saignantes , empilées en tas .",FAUNA
6,foule,"Je fus assez heureux pour pouvoir engager un gardien de nuit qui , pendant que je travaillais , me protégea de la foule curieuse et des chiens .",FAUNA
7,une petite espèce Rhinocéros,Il est intéressant de retrouver dans les faluns de la Touraine une petite espèce Rhinocéros .,FAUNA
8,Rhinocé- ridés,"Ces deux pièces permettent toutefois d'établir avec certitude l'existence dans l'horizon de la Touraine-Blésois de Rhinocé- ridés de petite taille , qui peuvent représenter la suite directe du rameau du Ceratorhinus tagicus race ligericus , signalé par l'un de nous dans le Burdigalien de la vallée de la Loire .",FAUNA
9,ce Rhino- céros,"Malgré la pénurie des matériaux dont nous pouvons dispo- ser , il nous paraît cependant possible de rapprocher ce Rhino- céros de petite taille , découvert dans l'Helvétien de Manthe- lan et de Pontlevoy , de deux formes , ayant entre elles une très grande ressemblance , sinon peut-être identiques : l'une est FiG . 16 . — Rhinocéros ( Ceratorhi- nus ) simorrensis .",FAUNA
10,Cervidés,"Leur présence — - rare ou fréquente — n'en présente pas moins vm réel intérêt , car elle montre avec évidence les affi- nités de la faune spéciale des faluns avec celle de Sansan où les Cervidés à bois caducs sont si abondants .",FAUNA
11,nos cerfs,"Il y a quelquefois , au point de jonction du pédoncule avec la bifurcation , une sorte de renflement ou bourrelet froncé , lequel rappelle jusqu ' à un certain point la couronne de pierrures qui surmonte la meule de nos cerfs vivants . ( ( La forme toujours simple de ces bois , même chez les sujets adultes m ' a fait penser que les appendices frontaux du Dicrocerus étaient persistants , ou du moins que leur DICROCERUS ELEGANS 37 renouvellement n ' y déterminait point de nouvelles compli- cations comme cela a lieu dans la plupart de nos espèces actuelles . » L'apparition d'une ramure frontale chez les Cervidés qui jus- qu'au Miocène n'en présentaient pas trace , sa persistance totale chez le Procervulus aurelianensis , sa caducité partielle chez le Dicrocerus elegans^ puis sa caducité totale chez les espèces ultérieurement apparues , entraîneraient à d'intéressantes considérations générales , mais il nous faut redire que le petit nombre de pièces que nous possédons ne nous autorise pas à les aborder ici .",FAUNA
12,animal,"Depéret pour un animal d'assez forte taille — voisine de celle d'un une actuel — du Burdigalien d'Autriche ( Eggenburg ) et de France ( sables fluviatiles de l'Orléanais ) , le Brachyodus onoideus . 40 MAMMIFflRES FOSSILES DES FALUNS DE LA TOURAINE Il vient naturellement à l'esprit qu'il puisse s'agir ici d'un fossile amené dans le falun par remaniement des sables flu- viatiles préexistants lors de la transgression marine helvé- tienne .",FAUNA
13,oranges,"Quant à ma propriété à San-Borja , personne n ' a voulu jusqu ' à présent me payer les nombreux arbres fruitiers que j'ai plantés et qui me donnent des oranges d'une douceur inappréciable .",FLORA
