sentence,text,_sentence_text,aspect_cat
DBNL-151_sample_IAA_19.txt_1626-1841,kaaiman,"Op onze vaart daarheen hadden wij nog het voorrecht een kaaiman , onder het gejoel en applaudissement der roeiers , ongetwijfeld uit zoete morgenmijmeringen opgewekt , dood verschrikt in het water te zien springen .",FAUNA
DBNL-151_sample_IAA_19.txt_365-705,suikerriet,"Van tijd tot tijd valt een spreker er tusschen in , die ongetwijfeld iets zeer belangrijks heeft te zeggen , wat hem daar juist te binnen valt , of hoort gij het afscheuren met de tanden der dikke splinters van een stuk suikerriet , waar ze met even veel genot op kauwen , als wij dat deden op zoethout , toen wij nog kleine jongens waren .",FLORA
DBNL-151_sample_IAA_19.txt_365-705,zoethout,"Van tijd tot tijd valt een spreker er tusschen in , die ongetwijfeld iets zeer belangrijks heeft te zeggen , wat hem daar juist te binnen valt , of hoort gij het afscheuren met de tanden der dikke splinters van een stuk suikerriet , waar ze met even veel genot op kauwen , als wij dat deden op zoethout , toen wij nog kleine jongens waren .",FLORA
DBNL-151_sample_IAA_19.txt_1626-1841,kaaiman,"Op onze vaart daarheen hadden wij nog het voorrecht een kaaiman , onder het gejoel en applaudissement der roeiers , ongetwijfeld uit zoete morgenmijmeringen opgewekt , dood verschrikt in het water te zien springen .",FAUNA
DBNL-151_sample_IAA_19.txt_365-705,suikerriet,"Van tijd tot tijd valt een spreker er tusschen in , die ongetwijfeld iets zeer belangrijks heeft te zeggen , wat hem daar juist te binnen valt , of hoort gij het afscheuren met de tanden der dikke splinters van een stuk suikerriet , waar ze met even veel genot op kauwen , als wij dat deden op zoethout , toen wij nog kleine jongens waren .",FLORA
DBNL-151_sample_IAA_19.txt_365-705,zoethout,"Van tijd tot tijd valt een spreker er tusschen in , die ongetwijfeld iets zeer belangrijks heeft te zeggen , wat hem daar juist te binnen valt , of hoort gij het afscheuren met de tanden der dikke splinters van een stuk suikerriet , waar ze met even veel genot op kauwen , als wij dat deden op zoethout , toen wij nog kleine jongens waren .",FLORA
DBNL-151_sample_IAA_19.txt_1626-1841,kaaiman,"Op onze vaart daarheen hadden wij nog het voorrecht een kaaiman , onder het gejoel en applaudissement der roeiers , ongetwijfeld uit zoete morgenmijmeringen opgewekt , dood verschrikt in het water te zien springen .",FAUNA
BHL_957_sample_Dutch_19.0.txt_306-596,bamboes,"Het werktuig , waarmede de bewoners van deze kust eene wolk van stof in de lucht werpen , en welke door eenen reiziger voor rook , die het aanzien van kruid- rook had , gehouden en beschreven is , is niets anders , dan een stuk bamboes , gevuld met lijn zand , fijn gemaakten kalk en aseb .",FLORA
BHL_957_sample_Dutch_19.0.txt_609-741,bamboes,"' ) Door dit bamboes sterk te slingeren , wordt het poeder in dat werktuig gedaan , in de lucht geworpen en geeft dat verschijnsel .",FLORA
BHL_957_sample_Dutch_19.0.txt_5312-5745,haagdis,"Guineërs zingen gaarne en schijnen dus veel genoegen in de muzijk te hebben , alhoewel zij maar een nog zeer onvolmaakt instrument bezitten , hetwelk , zoo wel hij die van deOetanata , als die van de Tritons-baai , op eene en dezelfde wijze gemaakt is ; bet bestaat uit een stuk hout van binnen uitgehold , aan de eene zijde met een stuk huid van eene groote haagdis of slang be- spannen , en waarop met de eene hand geslagen wordt .",FAUNA
