source_file,text,_sentence_text,annotation
GB-117_sample_English_18.txt,moderate,"In the P.M. had a moderate breeze at East , which in the Night Veer 'd to the North-East , and was attended with hazey , rainy weather .",3
GB-117_sample_English_18.txt,fair,"At Midnight the wind came to South-South-West , and increased to a brisk gale with fair Cloudy weather , which we made the most of as soon as it was daylight .",4
GB-117_sample_English_18.txt,fresh,"Cloudy weather ; Winds at South-West and South-South-West , a fresh Gale , with which we made our Course good North-West by West , and distance run from Yesterday at Noon to this day at Noon 38 1/2 Leagues .",4
GB-117_sample_English_18.txt,with which we made our Course good,"Cloudy weather ; Winds at South-West and South-South-West , a fresh Gale , with which we made our Course good North-West by West , and distance run from Yesterday at Noon to this day at Noon 38 1/2 Leagues .",4
GB-117_sample_English_18.txt,steady brisk,Had a steady brisk Gale at South-South-West with some flying showers of rain and large hollow Sea from the Southward .,4
GB-117_sample_English_18.txt,Fresh,"Fresh Gales at South , which in the A.M. veer 'd to South-East by South .",4
GB-117_sample_English_18.txt,Gentle,"Gentle breezes at North-East , which in the A.M .",4
GB-117_sample_English_18.txt,refusing to do his duty,"Bowles , Marine , with 12 lashes for refusing to do his duty when order 'd by the Boatswain 's Mate and Serjeant of Marines .",2
GB-117_sample_English_18.txt,Gentle,Gentle breezes at North-West ; pleasant weather and a Smooth Sea .,4
GB-117_sample_English_18.txt,pleasant,Gentle breezes at North-West ; pleasant weather and a Smooth Sea .,4
GB-117_sample_English_18.txt,uncommon in such high Latitudes,"In the A.M. saw a Tropic Bird , which , I believe , is uncommon in such high Latitudes .",4
GB-117_sample_English_18.txt,Gentle,"Gentle breezes at North-West by North , and clear settled weather .",4
GB-117_sample_English_18.txt,clear settled,"Gentle breezes at North-West by North , and clear settled weather .",4
GB-117_sample_English_18.txt,Gentle,"Gentle breezes from the North-West , and pleasant weather , with some few showers of rain .",4
GB-117_sample_English_18.txt,Clear pleasant,"Light Airs next to a Calm , with Clear pleasant weather ; what little wind we had was from the North-West quarter .",4
GB-117_sample_English_18.txt,Calm serene,"Calm serene weather , with sometimes light Airs from the Northward .",4
GB-117_sample_English_18.txt,fresh,"In the P.M. had light Airs at North , which in the A.M. increased to a fresh Gale , with which we made the best of our way to the Westward , and by noon had run since yesterday upon a South 86 degrees 15 minutes West Course , 79 Miles .",2
GB-117_sample_English_18.txt,Fresh,"Fresh Gales at North-North-West , with Cloudy , hazey weather .",4
GB-117_sample_English_18.txt,fresh,"At 8 o'Clock we wore and stood to the Southward until 12 at Night , then wore and stood to the North-West until 4 a.m. , when we again stood to the Southward , having a fresh Gale at West-South-West , attended with Squalls and dark hazey unsettled weather until 9 ; at which time it fell little wind , and the weather soon after Clear 'd up , which , a little after 11 , gave us an Opportunity of taking several observations of the Sun and Moon , the Mean result of which gave 207 degrees 56 minutes West Longitude from the Meridian of Greenwich .",4
GB-117_sample_English_18.txt,Certain signs of the nearness of land,The first of these birds are Certain signs of the nearness of land ; indeed we can not be far from it .,4
GB-117_sample_English_18.txt,fresh,"In the P.M. had fresh Gales at South-South-West and Cloudy Squally weather , with a large Southerly Sea ; at 6 took in the Topsails , and at 1 A.M. brought too and Sounded , but had no ground with 130 fathoms of line .",4
GB-117_sample_English_18.txt,fresh,"In the P.M. and most part of the night had a fresh Gale Westerly , with Squalls , attended with Showers of rain .",4
GB-117_sample_English_18.txt,rise with a gentle slope,"The weather being clear gave us an opportunity to View the Country , which had a very agreeable and promising aspect , diversified with hills , ridges , plains , and Valleys , with some few small lawns ; but for the most part the whole was covered with wood , the hills and ridges rise with a gentle slope ; they are not high , neither are there many of them . [ Off Cape Dromedary , New South Wales . ] Saturday , 21st .",4
GB-117_sample_English_18.txt,Gentle,"Winds Southerly , a Gentle breeze , and Clear weather , with which we coasted along shore to the Northward .",4
GB-117_sample_English_18.txt,Gentle,In the P.M. had a Gentle breeze at South by West with which we steer 'd along shore North by East and North-North-East at the distance of about 3 Leagues .,4
GB-117_sample_English_18.txt,Gentle,"After this we steer 'd along shore North-North-East , having a Gentle breeze at South-West , and were so near the Shore as to distinguish several people upon the Sea beach .",4
GB-117_sample_English_18.txt,stout and lofty,As far as we could see the Trees in this Country hath all the appearance of being stout and lofty .,4
GB-117_sample_English_18.txt,Gentle,"In the P.M. had a Gentle breeze at East , which in the night veer 'd to North-East and North .",4
GB-117_sample_English_18.txt,Gentle,"Stood to the North-East until Noon , having a Gentle breeze at North-West , at which time we Tack 'd and stood to the Westward , being then , by observation , in the Latitude of 35 degrees 10 minutes South and Longitude 208 degrees 51 minutes West .",4
GB-117_sample_English_18.txt,fresh,"In the P.M. had a fresh breeze at North-West until 3 o'Clock , at which time it came to West , and we Tack 'd and stood to the Northward .",4
GB-117_sample_English_18.txt,advantage of a fresh,"At 3 A.M. made sail again to the Northward , having the advantage of a fresh Gale at South-West .",4
GB-117_sample_English_18.txt,very fine,"George the Shore seems to form a bay , * ( * Jervis Bay , a very fine port , but little use has been made of it up to the present time . ) which appear 'd to be shelter 'd from the North-East winds ; but as we had the wind it was not in my power to look into it , and the appearance was not favourable enough to induce me to loose time in beating up to it .",4
GB-117_sample_English_18.txt,appearance was not favourable enough to induce me to loose time in beating up to it,"George the Shore seems to form a bay , * ( * Jervis Bay , a very fine port , but little use has been made of it up to the present time . ) which appear 'd to be shelter 'd from the North-East winds ; but as we had the wind it was not in my power to look into it , and the appearance was not favourable enough to induce me to loose time in beating up to it .",2
IT_5_sample.txt,laughing,It is true that on any spring morning you may see the cloister filled with laughing lilies to be laid at Madonna 's feet ; but who knows if she be not fled away with her Servi to Monte Senario ?,4
IT_5_sample.txt,best society of Florence,"However that may be , a committee , we are told , of which Queen Margherita is patron here , `` renders a programme of sacred music , chiefly Masses from the ancient masters , admirably executed . '' It is comforting to our English notions to know that `` The subscribers have the right to a private seat in the choir , and the best society of Florence is to be met there . '' And then , here are frescoes by Cosimo Rosselli , Andrea del Sarto , under glass too , a Nativity of Christ by Alessio Baldovinetti , not under glass , which seems unfair ; and what if they be the finest work of Andrea , since you can not see them .",4
IT_5_sample.txt,spoiled and very ugly,"Within , the church is spoiled and very ugly .",1
IT_5_sample.txt,a beautiful picture,"Maria degli Innocenti , we come to a beautiful picture by Domenico Ghirlandajo in the great altarpiece , the Adoration of the Magi , painted in 1488 .",4
IT_5_sample.txt,"their greatest , certainly their most widely known","The Osservanti , or Observants , remained poor , and observed all the fasts ; perhaps their greatest , certainly their most widely known Vicar-General was S.",4
IT_5_sample.txt,Discalced Friars,"In France the Osservanti were known as the Recollects , and the reform there having been introduced by John de la Puebla , a Spaniard , about 1484 , these brethren were known as the Brotherhood of John , or Discalced Friars .",2
IT_5_sample.txt,most ancient and beautiful of their names,"All this confusion is now at an end , for Leo XIII , in the Constitution `` Felicitate quadam , '' in 1897 joined all the Observants into one family , giving them again the most ancient and beautiful of their names , the Friars Minor .",5
IT_5_sample.txt,desecrated,"Returning down Via Cavour , if we turn into Via Ventisette Aprile we come to two more desecrated convents , -- that of S.",2
IT_5_sample.txt,desecrated,"Another picture of the Last Supper -- this by Andrea del Sarto -- may be found in another desecrated monastery , founded in 1048 by the Vallombrosans , the second monastery of the congregation , S.",2
IT_5_sample.txt,charges you twenty-five centesimi to see their stolen goods,"Onofrio , charges you twenty-five centesimi to see their stolen goods .",2
IT_5_sample.txt,retains a fine romanesque arcade,"Jacopo , which still retains a fine romanesque arcade , was originally a foundation of the eleventh century .",4
IT_5_sample.txt,picturesque and splendid,"Close by is a group of old towers , still picturesque and splendid .",4
IT_5_sample.txt,great families whose homes were in this part of the city,"The church of the Carmine and the monastery now suppressed of the Carmelites across Arno were originally built in 1268 , with the help of the great families whose homes were in this part of the city , -- the Soderini , the Nerli , the Serragli ; it remained unfinished for more than two centuries , and in 1771 it was unhappily almost wholly destroyed by fire , only the sacristy and the Brancacci Chapel escaping .",4
IT_5_sample.txt,unhappily almost wholly destroyed by fire,"The church of the Carmine and the monastery now suppressed of the Carmelites across Arno were originally built in 1268 , with the help of the great families whose homes were in this part of the city , -- the Soderini , the Nerli , the Serragli ; it remained unfinished for more than two centuries , and in 1771 it was unhappily almost wholly destroyed by fire , only the sacristy and the Brancacci Chapel escaping .",2
IT_5_sample.txt,two of the greatest masters of the first years of the Quattrocento,"It is then really only the Brancacci Chapel in the south transept that has any interest for us , since there , better than anywhere else , we may see the work of two of the greatest masters of the first years of the Quattrocento . [ Illustration : PONTE VECCHIO ] Masolino , according to Mr.",5
IT_5_sample.txt,had been in his younger days a very good goldsmith,"Masolino da Panicale of Valdelsa was , according to Vasari , a pupil of Lorenzo Ghiberti , and had been in his younger days a very good goldsmith .",4
IT_5_sample.txt,first master of his day,"Giovanni , but when about nineteen years of age he seems to have devoted himself to painting , forsaking the art of the goldsmith , and placing himself under Gherardo della Starnina , the first master of his day .",4
IT_5_sample.txt,finding his health suffer from the air,"Clemente would seem to prove this story ; but finding his health suffer from the air of the Eternal City , he returned to Florence , and began to paint here in the Church of S.",2
IT_5_sample.txt,greatly commended by the painters of the time,"Piero , Vasari tells us , was greatly commended by the painters of the time , and brought Masolino the commission for painting the Chapel of the Brancacci family in the same church .",4
IT_5_sample.txt,admirable beauty of his work,"Yet in looking on his work to-day , beside that of Masaccio , one thinks less , I fancy , of his '' study and fatigues , '' of his structure and technique , than of the admirable beauty of his work .",4
IT_5_sample.txt,the real majesty of the creator,"In Masaccio 's work you will find a more splendid style , the real majesty of the creator , a strangely sure generalisation and expression ; but in Masolino 's work there still lingers something of the mere beauty of Gentile da Fabriano , the particular personal loveliness of things which you may know he has touched with a caress or seen always with joy .",4
