Unnamed: 0,words,sentence,labels_y
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[""''"", 'CHAPTER', 'III', 'THE', 'CUMÆAN', 'SIBYL', 'A', 'part', 'of', 'the', 'monotonous', 'coast-line', 'of', 'Palestine', 'extends', 'into', 'the', 'Mediterranean', 'considerably', 'beyond', 'the', 'rest', 'at', 'Carmel', '.']",'' CHAPTER III THE CUMÆAN SIBYL A part of the monotonous coast-line of Palestine extends into the Mediterranean considerably beyond the rest at Carmel .,"['O', 'O', 'O', 'O', 'B-aspect', 'B-aspect', 'O', 'O', 'O', 'B-aspect', 'O', 'O', 'O', 'B-aspect', 'O', 'O', 'B-aspect', 'I-aspect', 'O', 'O', 'B-aspect', 'O', 'O', 'B-aspect', 'O']"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[""''"", 'This', ',', 'and', '``', 'May', 'God', 'forgive', 'the', 'sins', 'of', 'your', 'father', 'and', 'mother', '!']","'' This , and `` May God forgive the sins of your father and mother !","['O', 'O', 'O', 'O', 'O', 'O', 'B-aspect', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[""''"", 'are', 'surely', 'the', 'utterances', 'of', 'a', 'tired', 'race', '.']",'' are surely the utterances of a tired race .,"['O', 'O', 'O', 'O', 'O', 'O', 'B-aspect', 'I-aspect', 'I-aspect', 'O']"
"[3, 3, 3, 3]","['A', 'Belgian', ',', 'M.']","A Belgian , M.","['O', 'O', 'O', 'B-aspect']"
"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","['A', '``', 'third', 'edition', ',', 'revised', 'and', 'enlarged', ',', ""''"", '16mo', ',', 'pp', '.', '240', ',', 'bears', 'date', 'Philadelphia', ',', '1848', '.']","A `` third edition , revised and enlarged , '' 16mo , pp . 240 , bears date Philadelphia , 1848 .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-aspect', 'O', 'O', 'O']"
"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]","['A', 'big', 'heap', 'of', 'stones', 'marked', 'the', 'summit', 'of', 'the', 'pass', 'and', 'the', 'frontier', 'between', 'Sikkim', 'and', 'Tibet', ',', 'and', 'a', 'few', 'sticks', ',', 'to', 'which', 'were', 'attached', 'strings', 'covered', 'with', 'small', 'pieces', 'of', 'rag', 'on', 'which', 'were', 'inscribed', 'prayers', ',', 'fluttered', 'out', 'in', 'the', 'strong', 'wind', 'that', 'always', 'blows', 'up', 'there', '.']","A big heap of stones marked the summit of the pass and the frontier between Sikkim and Tibet , and a few sticks , to which were attached strings covered with small pieces of rag on which were inscribed prayers , fluttered out in the strong wind that always blows up there .","['O', 'O', 'B-aspect', 'I-aspect', 'I-aspect', 'O', 'B-aspect', 'I-aspect', 'I-aspect', 'B-aspect', 'I-aspect', 'I-aspect', 'B-aspect', 'I-aspect', 'I-aspect', 'I-aspect', 'I-aspect', 'I-aspect', 'O', 'I-aspect', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-aspect', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-aspect', 'O', 'B-aspect', 'B-aspect', 'I-aspect', 'I-aspect', 'I-aspect', 'I-aspect', 'O']"
"[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]","['A', 'blazing', 'hillside', ';', 'a', 'mountain', 'of', 'gravel', 'among', 'others', 'of', 'similar', 'ugliness', ',', 'sprinkled', 'with', 'camel', 'thorn', 'and', 'thistles', ';', 'a', 'steep', 'and', 'long', 'descent', 'to', 'a', 'stream', ';', 'ripe', 'wheat', 'on', 'some', 'irrigated', 'slopes', ';', 'above', 'these', 'the', 'hundred', 'hovels', 'of', 'the', 'village', 'of', 'Sarawand', 'clinging', 'one', 'above', 'another', 'to', 'the', 'hillside', ',', 'their', 'white', 'clay', 'roofs', 'intolerable', 'in', 'the', 'fierce', 'light', ';', 'more', 'scorched', 'gravel', 'hills', 'breaking', 'off', 'abruptly', ',', 'and', 'then', 'a', 'blazing', 'plain', ',', 'in', 'a', 'mist', 'of', 'dust', 'and', 'heat', ',', 'and', 'low', 'hills', 'on', 'the', 'farther', 'side', 'seen', 'through', 'a', 'brown', 'haze', ',', 'make', 'up', 'the', 'view', 'from', 'my', 'tent', '.']","A blazing hillside ; a mountain of gravel among others of similar ugliness , sprinkled with camel thorn and thistles ; a steep and long descent to a stream ; ripe wheat on some irrigated slopes ; above these the hundred hovels of the village of Sarawand clinging one above another to the hillside , their white clay roofs intolerable in the fierce light ; more scorched gravel hills breaking off abruptly , and then a blazing plain , in a mist of dust and heat , and low hills on the farther side seen through a brown haze , make up the view from my tent .","['O', 'B-aspect', 'B-aspect', 'O', 'B-aspect', 'I-aspect', 'I-aspect', 'I-aspect', 'I-aspect', 'I-aspect', 'I-aspect', 'I-aspect', 'I-aspect', 'O', 'O', 'O', 'B-aspect', 'I-aspect', 'I-aspect', 'B-aspect', 'O', 'B-aspect', 'O', 'I-aspect', 'O', 'O', 'O', 'B-aspect', 'B-aspect', 'O', 'O', 'B-aspect', 'O', 'O', 'B-aspect', 'B-aspect', 'O', 'O', 'O', 'B-aspect', 'O', 'O', 'I-aspect', 'B-aspect', 'I-aspect', 'I-aspect', 'I-aspect', 'O', 'O', 'O', 'O', 'O', 'B-aspect', 'B-aspect', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-aspect', 'O', 'B-aspect', 'O', 'O', 'B-aspect', 'I-aspect', 'I-aspect', 'O', 'O', 'O', 'O', 'I-aspect', 'O', 'B-aspect', 'B-aspect', 'B-aspect', 'O', 'O', 'B-aspect', 'I-aspect', 'I-aspect', 'I-aspect', 'I-aspect', 'I-aspect', 'O', 'I-aspect', 'B-aspect', 'I-aspect', 'O', 'B-aspect', 'O', 'O', 'O', 'O', 'B-aspect', 'I-aspect', 'I-aspect', 'O', 'O', 'O', 'B-aspect', 'O', 'O', 'O', 'B-aspect', 'O']"
"[7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]","['A', 'brief', 'visit', 'to', 'Seymour', 'Island', 'did', 'not', 'reveal', 'the', 'wealth', 'of', 'fossil-bearing', 'strata', 'that', 'was', 'expected', '.']",A brief visit to Seymour Island did not reveal the wealth of fossil-bearing strata that was expected .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"[8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8]","['A', 'broad', 'high', 'bank', 'of', 'gravel', 'lies', 'across', 'a', 'part', 'of', 'its', 'lower', 'end', ',', 'and', 'all', 'seemed', 'so', 'safe', 'and', 'solitary', 'that', 'I', 'pitched', 'my', 'camp', 'here', 'for', 'Sunday', 'at', 'an', 'unusual', 'distance', 'from', 'the', 'other', 'camps', '.', '``', 'Things', 'are', 'not', 'what', 'they', 'seem', '.', ""''"", 'Two', 'armed', 'Hajwands', 'visited', 'the', 'camps', ',', 'shots', 'were', 'heard', 'at', 'intervals', 'this', 'morning', ',', 'and', 'in', 'the', 'night', 'some', 'of', 'the', 'watch', 'said', 'they', 'saw', 'a', 'number', 'of', 'men', 'advancing', 'towards', 'us', 'from', 'under', 'the', 'bushes', '.']","A broad high bank of gravel lies across a part of its lower end , and all seemed so safe and solitary that I pitched my camp here for Sunday at an unusual distance from the other camps . `` Things are not what they seem . '' Two armed Hajwands visited the camps , shots were heard at intervals this morning , and in the night some of the watch said they saw a number of men advancing towards us from under the bushes .","['O', 'B-aspect', 'I-aspect', 'I-aspect', 'I-aspect', 'I-aspect', 'O', 'O', 'O', 'O', 'I-aspect', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-aspect', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-aspect', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-aspect', 'I-aspect', 'I-aspect', 'O', 'O', 'B-aspect', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-aspect', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-aspect', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-aspect', 'O']"
"[9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9]","['A', 'cannon', 'was', 'also', 'placed', 'here', ',', 'with', 'its', 'mouth', 'towards', 'the', 'principal', '[', 'pg', '.', '188', ']', 'entrance', '.', '[', '354', ']', 'The', 'fort', 'contains', 'about', 'fifty', 'or', 'sixty', 'horses', ',', 'some', 'mules', ',', 'and', 'an', 'inconsiderable', 'number', 'of', 'cattle', ',', 'swine', ',', 'goats', ',', 'fowls', ',', 'and', 'domestic', 'animals', '.']","A cannon was also placed here , with its mouth towards the principal [ pg . 188 ] entrance . [ 354 ] The fort contains about fifty or sixty horses , some mules , and an inconsiderable number of cattle , swine , goats , fowls , and domestic animals .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-aspect', 'O', 'O', 'O', 'O', 'O', 'B-aspect', 'O', 'O', 'B-aspect', 'O', 'O', 'O', 'O', 'O', 'O', 'B-aspect', 'O', 'B-aspect', 'O', 'B-aspect', 'O', 'B-aspect', 'O', 'O', 'B-aspect', 'I-aspect', 'O']"
"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['A', 'century', 'after', ',', 'Charles', 'of', 'Anjou', 'demolished', 'it', ',', 'and', 'then', 'the', 'Pisans', 'fortified', 'it', 'some', 'more', '.']","A century after , Charles of Anjou demolished it , and then the Pisans fortified it some more .","['O', 'O', 'O', 'O', 'B-aspect', 'I-aspect', 'I-aspect', 'O', 'O', 'O', 'O', 'O', 'O', 'B-aspect', 'O', 'O', 'O', 'O', 'O']"
"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11]","['A', 'certain', 'amount', 'of', 'our', 'stores', 'had', 'therefore', 'to', 'be', 'left', 'behind', 'at', 'Government', 'House', ',', 'Darjeeling', ',', 'for', 'a', 'second', 'journey', ',', 'and', 'we', 'only', 'took', 'with', 'us', 'sufficient', 'food', 'and', 'supplies', 'for', 'three', 'and', 'a', 'half', 'months', ',', 'relying', 'on', 'the', 'mules', 'going', 'back', 'and', 'returning', 'with', 'the', 'remainder', 'of', 'the', 'stores', 'in', 'July', 'or', 'August', '.']","A certain amount of our stores had therefore to be left behind at Government House , Darjeeling , for a second journey , and we only took with us sufficient food and supplies for three and a half months , relying on the mules going back and returning with the remainder of the stores in July or August .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-aspect', 'I-aspect', 'O', 'B-aspect', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-aspect', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"[12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12]","['A', 'color', 'suffusion', 'is', 'common', 'throughout', 'the', 'entire', 'Arctic', 'zone', '.']",A color suffusion is common throughout the entire Arctic zone .,"['B-aspect', 'I-aspect', 'I-aspect', 'O', 'O', 'O', 'B-aspect', 'I-aspect', 'I-aspect', 'I-aspect', 'O']"
"[13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13]","['A', 'conservative', 'guess', 'of', '350', 'years', 'is', 'allowable', 'for', 'the', 'interval', 'between', 'construction', 'and', 'the', 'time', 'the', 'cedar', 'began', 'to', 'sprout', ',', 'thus', 'carrying', 'the', 'antiquity', 'of', 'Sun', 'Temple', 'back', 'to', 'about', '1200', 'A.']","A conservative guess of 350 years is allowable for the interval between construction and the time the cedar began to sprout , thus carrying the antiquity of Sun Temple back to about 1200 A.","['O', 'O', 'O', 'B-aspect', 'O', 'O', 'O', 'O', 'O', 'B-aspect', 'O', 'O', 'O', 'O', 'B-aspect', 'O', 'B-aspect', 'I-aspect', 'O', 'O', 'O', 'O', 'O', 'O', 'B-aspect', 'O', 'B-aspect', 'I-aspect', 'I-aspect', 'O', 'O', 'O', 'O', 'O']"
"[14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14]","['A', 'curious', 'one', 'of', 'the', 'latter', ',', 'four', 'or', 'five', 'inches', 'broad', ',', 'wrought', 'with', 'thread', 'or', 'cord', ',', 'and', 'studded', 'with', 'shells', ',', 'is', 'worn', 'by', 'them', 'just', 'above', 'the', 'elbow', '.']","A curious one of the latter , four or five inches broad , wrought with thread or cord , and studded with shells , is worn by them just above the elbow .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-aspect', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"[15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15]","['A', 'curious', 'phenomenon', 'was', 'observed', 'during', 'the', 'progress', 'of', 'these', 'gales', '.']",A curious phenomenon was observed during the progress of these gales .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-aspect', 'O']"
